Section,과정/Type,과목명/Subject,학년/Grade,수업 시간/Schedule,비고/Notes
로보틱스 과정 (2주),Robotics,Makers,All G,"월-목, 1-3pm or 5-7pm",
로보틱스 과정 (2주),Robotics,VEX IQ,G1~G9,"월-목, 10-12pm(오전) or 1-3pm",
로보틱스 과정 (2주),Robotics,VEX V5,G7~G11,"월-목, 10-12pm(오전) or 3-5pm",
로보틱스 과정 (2주),Robotics,아두이노 프로젝트,G5~G11,"월-목, 1-3pm or 5-7pm","Arduino: 작은 컴퓨터로 전자 부품을 제어하고 간단한 기기를 만들 수 있는 소형 마이크로컨트롤러 보드"
로보틱스 과정 (4주),Robotics,VEX IQ,G1~G9,"월-목, 10-12pm(오전) or 1-3pm",
로보틱스 과정 (4주),Robotics,VEX V5,G7~G11,"월-목, 10-12pm(오전) or 3-5pm",
로보틱스 과정 (4주),Robotics,VEX IQ / VEX V5,All G,"토,일 5-7pm",
로보틱스 과정 (4주),Robotics,Makers,All G,"월-목, 1-3pm or 5-7pm",
하반기 로보틱스 대회 준비반,Competition,MAKE X [아시아권 최대 규모 로봇 대회],G1~G6,"26년 9월 ~ 11월",
하반기 로보틱스 대회 준비반,Competition,VEX IQ | VEX V5 [벡스],G5~G11,"26년 11월 ~ 3월",
하반기 로보틱스 대회 준비반,Competition,창의 발명 대회 [매일 경제 주관 로봇 공모전],All G,"26년 12월 ~ 27년 1월",
하반기 로보틱스 대회 준비반,Competition,USSEO [US Science Engineering Olympiad],All G,"27년 1-4월","*뉴욕대학교 공과 대학 주관 로봇 공모전, AI 융합 로봇 대회"
코딩 | 로직 대회 준비반,Coding,스크래치 올림피아드,G2~G4,"화, 목 1-3pm",
코딩 | 로직 대회 준비반,Coding,ACSL Elementary,G5-G6,"월, 수 3-5pm",
코딩 | 로직 대회 준비반,Coding,ACSL Junior,G6-G8,"화, 목 3-5pm | 토, 일 3-5pm",
코딩 | 로직 대회 준비반,Coding,ACSL Inter / Sr.,G9-G11,"화, 목 7-9pm | 토, 일 10-12pm(오전)",
코딩 | 로직 대회 준비반,Coding,ILO Jr.,G6-G8,"월, 수 3-5pm | 토, 일 5-7pm",
코딩 | 로직 대회 준비반,Coding,ILO Sr. (* International Logic Olympiad 스탠퍼드 대학교 주관),G9-G11,"월, 수 7-9pm | 토, 일 1-3pm | 토 4-7pm (주 1회)",
코딩 | 로직 대회 준비반,Coding,USACO,G8-G11,"월, 수 7-9pm | 토, 일 1-3pm",
코딩 | 로직 대회 준비반,Coding,유펜 와튼(Wharton) Data Science / Technovation Girls / KSEF / ISEF,,"*개별 상담 필요",
코딩 개념반 (4주 과정),Coding,Python Jr.,G6-G8,"화, 목 10-12pm(오전) | 월, 수 3-5pm | 토, 일 1-3pm",
코딩 개념반 (4주 과정),Coding,Python Sr.,G8-G11,"화, 목 7-9pm | 토, 일 10-12pm(오전) | 토, 일 3-5pm",
코딩 개념반 (4주 과정),Coding,Python 대학 진학반,G12-대1,"화, 목 3-5pm | 토, 일 3-5pm",
코딩 개념반 (4주 과정),Coding,AP CSA,G9-G11,"화, 목 7-9pm | 토, 일 1-3pm",
코딩 개념반 (4주 과정),Coding,[AI입문] Data Science,G9-G11,"월, 수 7-9pm | 토, 일 3-5pm",
코딩 개념반 (4주 과정),Coding,자료구조 [C++],G6-G11,"월, 수 5-7pm | 토, 일 3-5pm",
코딩 개념반 (4주 과정),Coding,Java,G6-G11,"화, 목 7-9pm | 토, 일 1-3pm",
코딩 개념반 (4주 과정),Coding,Unity [게임개발],G6-G11,"화, 목 5-7pm | 토, 일 3-5pm",
AI 활용반,Coding,포트폴리오 웹개발 (4주),G7-G10,"화, 목 5-7pm | 토, 일 10-12pm(오전)",
AI 활용반,Coding,게임 개발 (8주),G7-G10,"화, 목 1-3pm | 토, 일 3-5pm",
AI 활용반,Coding,앱개발 (8주~10주),G8-G11,"토, 일 3-5pm",
코딩 단기 집중반 (2주),Coding,Python Jr. | Sr.,G6-G12,"월-목 10-12pm(오전) | 월-목 7-9pm",
코딩 단기 집중반 (2주),Coding,AP CSA,G9-G11,"월-목 10-12pm(오전) | 월-목 7-9pm",
코딩 단기 집중반 (2주),Coding,자료구조 [C++],G6-G12,"월-목 1-3pm",
